player_id_cat,gender,date,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum
42,male,2013-05-23,0,0,1,0,-1,1,17,1893
43,male,2013-08-12,29,0,52,18,-34,29,0,2434
44,male,2013-07-29,446,0,834,388,-446,399,0,3259
45,male,2013-12-22,904,0,2097,1193,-904,904,0,4447
46,male,2013-04-04,75,302,818,1044,226,-244,0,8976
46,male,2013-04-09,75,0,305,364,59,-58,49,3897
46,male,2013-04-10,75,0,446,237,-209,209,0,2965
46,male,2013-07-10,266,0,439,173,-266,266,0,7742
46,male,2013-11-25,148,0,195,48,-147,147,0,2571
47,male,2013-01-31,303,0,2118,1816,-302,297,0,9663
47,male,2013-02-01,152,0,326,178,-148,148,0,6506
48,male,2013-05-11,58,0,383,325,-58,58,31,2772
50,female,2013-07-30,74,297,2148,2373,225,-225,0,2801
50,female,2013-07-31,59,0,70,8,-62,60,23,2041
50,female,2013-08-01,59,0,83,25,-58,59,0,535
50,female,2013-08-02,250,0,354,105,-249,243,0,2997
50,female,2013-08-03,88,0,233,145,-88,88,0,885
50,female,2013-08-04,146,0,1160,1013,-147,147,0,2357
50,female,2013-08-05,88,0,123,36,-87,87,0,741
50,female,2013-08-06,88,0,1014,925,-89,89,0,1684
50,female,2013-08-11,262,0,595,335,-260,260,0,864
50,female,2013-08-13,88,0,135,47,-88,88,0,601
50,female,2013-08-18,293,293,2163,2166,3,-3,0,2591
50,female,2013-08-19,147,0,195,45,-150,150,0,796
50,female,2013-08-20,88,0,485,395,-90,89,0,1676
50,female,2013-08-21,292,0,665,372,-293,293,0,774
50,female,2013-08-26,146,0,265,119,-146,146,0,561
50,female,2013-08-31,116,0,376,260,-116,116,0,650
50,female,2013-09-08,263,0,1866,2481,615,-623,0,3083
50,female,2013-09-09,118,0,292,174,-118,119,0,494
50,female,2013-09-10,118,0,674,558,-116,117,0,883
50,female,2013-09-13,295,0,4909,4614,-295,296,0,5259
