player_id_cat,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum,female,male
2109,1189,0,6671,5482,-1189,750,34,74254,1.0,0.0
2110,881,881,2225,2226,1,0,44,9891,0.0,1.0
2111,7470,3239,30864,26632,-4232,4548,197,236971,0.0,1.0
2113,45,0,173,129,-44,44,0,2812,1.0,0.0
2114,22346,14806,162423,154887,-7536,7535,430,523143,1.0,0.0
2116,293,0,489,196,-293,293,0,2167,0.0,1.0
2118,30,0,92,60,-32,27,25,720,0.0,1.0
2119,150,301,1004,1155,151,-151,17,3492,1.0,0.0
2120,1428,3802,10571,12946,2375,-2375,62,47785,1.0,0.0
2121,938,586,528,175,-353,352,16,6799,0.0,1.0
2122,234,143,655,740,85,-85,71,12428,1.0,0.0
2123,4872,6165,31335,32629,1294,-1328,45,12465,0.0,1.0
2124,1355,907,2807,2361,-446,413,0,19975,0.0,1.0
2125,90,0,261,170,-91,90,0,2707,1.0,0.0
2126,6389,2516,19347,15475,-3872,3794,117,147173,0.0,1.0
2127,40431,14592,209709,183869,-25840,18419,132,166069,1.0,0.0
2129,177,0,365,211,-154,151,22,25601,0.0,1.0
2131,33416,22546,248342,237510,-10832,10217,542,850076,0.0,1.0
2132,45,0,900,853,-47,45,0,6254,0.0,1.0
2133,59,0,87,22,-65,57,0,1098,0.0,1.0
2134,595,0,2229,1633,-596,596,0,18552,1.0,0.0
2135,2091,1172,8608,7689,-919,918,82,102944,1.0,0.0
2136,5413,1464,17382,13281,-4101,3950,0,44982,0.0,1.0
2137,4345,1324,33377,30353,-3024,1766,302,333649,1.0,0.0
2139,3505,0,22915,19411,-3504,3506,0,23074,1.0,0.0
2140,33,0,78,45,-33,32,0,2500,1.0,0.0
2142,31844,50764,206799,225720,18921,-18945,189,228065,1.0,0.0
2143,180,0,1209,1030,-179,179,89,19830,0.0,1.0
2145,295,0,761,457,-304,294,0,8244,0.0,1.0
2147,60,0,182,123,-59,59,0,2797,0.0,1.0
2148,58,0,129,71,-58,58,34,5477,0.0,1.0
2149,240,0,481,240,-241,237,0,12676,0.0,1.0
2152,603,0,2771,2170,-601,601,0,11539,0.0,1.0
2153,185,0,4556,4340,-216,124,0,22044,0.0,1.0
2154,149,298,725,876,151,-151,0,4948,0.0,1.0
2156,60,59,15,15,0,0,0,4463,0.0,1.0
2158,1130,74,6685,5624,-1061,634,459,305100,0.0,1.0
2160,146,0,308,162,-146,146,0,4034,0.0,1.0
2162,8433,4583,50042,46191,-3851,3849,130,182016,1.0,0.0
2164,7308,0,19415,12108,-7307,6818,29,13602,0.0,1.0
2166,658,0,2638,1980,-658,658,0,5528,0.0,1.0
2169,310,0,1845,1504,-341,283,99,73361,0.0,1.0
2170,45,0,226,207,-19,-1,0,2107,1.0,0.0
2171,59,0,162,103,-59,59,0,3819,1.0,0.0
2172,849,1239,12412,12802,390,-390,0,11747,1.0,0.0
2173,238,232,708,702,-6,-2,0,11072,1.0,0.0
2174,45,84,38,84,46,-46,0,4255,0.0,1.0
2175,7066,0,31883,23641,-8242,7065,0,17795,0.0,1.0
2176,236,1568,299,1632,1333,-1333,0,9698,0.0,1.0
2177,133,0,420,287,-133,131,32,7823,0.0,1.0
2178,116,0,714,599,-115,116,0,8634,1.0,0.0
2179,330,442,605,717,112,-112,0,18632,0.0,1.0
2182,594,0,811,218,-593,594,0,3134,1.0,0.0
2186,209,0,440,230,-210,209,5,10874,1.0,0.0
2189,4998,1111,17804,13915,-3889,3849,100,141966,0.0,1.0
2190,0,0,1,0,-1,1,0,2070,0.0,1.0
2191,592,0,1192,599,-593,592,20,7420,0.0,1.0
2194,0,0,223,184,-39,30,35,34008,0.0,1.0
2195,177,0,318,142,-176,176,0,11046,1.0,0.0
2196,1185,1449,17802,16875,-927,-263,0,75161,0.0,1.0
2197,150,0,472,322,-150,149,0,7858,0.0,1.0
2198,149,0,185,39,-146,146,15,2871,0.0,1.0
2199,136,0,277,141,-136,136,40,3644,0.0,1.0
2200,54890,24168,456292,425572,-30720,30649,368,785700,0.0,1.0
2205,6102,2028,52452,48945,-3507,3465,214,342174,0.0,1.0
2206,3302,3314,12225,12241,16,-15,78,41363,0.0,1.0
2207,60,0,192,133,-59,58,0,2982,1.0,0.0
2208,29,0,47,22,-25,25,0,2270,0.0,1.0
2209,90,0,551,424,-127,-107,47,77249,0.0,1.0
2211,6438,10903,26678,31137,4459,-5171,132,50654,1.0,0.0
2212,887,0,3468,2580,-888,887,15,16574,1.0,0.0
2213,194,258,418,481,63,-64,0,6085,0.0,1.0
2214,30,0,36,6,-30,30,0,3668,1.0,0.0
2217,90,548,299,756,457,-470,28,2898,0.0,1.0
2220,59,0,217,159,-58,59,0,2990,0.0,1.0
2223,62,0,266,168,-98,55,183,115776,0.0,1.0
2224,119,0,530,411,-119,119,0,12055,0.0,1.0
2225,1783,602,10764,9530,-1234,1181,30,53565,1.0,0.0
2227,58,0,58,3,-55,53,0,2333,1.0,0.0
2228,1837,1033,6065,5233,-832,834,9,82785,0.0,1.0
2229,902,12045,54745,65289,10544,-11200,71,105931,1.0,0.0
2230,61,0,202,140,-62,44,0,4106,0.0,1.0
2236,2215,1830,7139,6757,-382,376,44,43897,0.0,1.0
2238,153,0,694,541,-153,153,0,7304,0.0,1.0
2239,29,0,72,43,-29,26,0,3123,0.0,1.0
2240,484,0,1499,1016,-483,483,22,23099,0.0,1.0
2242,10125,4235,56077,50181,-5896,5389,185,375330,1.0,0.0
2243,551,896,2375,2690,315,-554,0,17945,1.0,0.0
2244,472,266,1373,1167,-206,206,0,16252,0.0,1.0
2245,30,0,81,51,-30,24,0,4294,0.0,1.0
2246,30,0,116,86,-30,30,44,2759,0.0,1.0
2247,7907,6549,71457,70094,-1363,1344,321,755216,0.0,1.0
2248,117,0,933,817,-116,116,31,7336,0.0,1.0
2250,245,0,287,41,-246,245,0,1227,0.0,1.0
2251,326,150,711,532,-179,166,56,21569,0.0,1.0
2252,6603,3250,19280,16061,-3219,3198,37,133730,0.0,1.0
